jenis_barang,kategori,harga,bulan,jumlah_penjualan,stok,status,status_penjualan,status_stok
Sari Roti,Makanan,12000,Agustus,90,15,eceran,Tinggi,Rendah
Sari Roti,Makanan,12000,September,50,90,eceran,Sedang,Cukup
Sari Roti,Makanan,12000,Oktober,95,10,eceran,Tinggi,Rendah
Sari Roti,Makanan,12000,November,45,100,eceran,Sedang,Cukup
Sari Roti,Makanan,12000,Desember,100,5,eceran,Tinggi,Rendah
Sunlight,Deterjen,12000,Januari,70,20,eceran,Tinggi,Rendah
Sunlight,Deterjen,12000,Februari,65,25,eceran,Sedang,Rendah
Sunlight,Deterjen,12000,Maret,60,30,eceran,Sedang,Rendah
Sunlight,Deterjen,12000,April,55,40,eceran,Sedang,Rendah
Sunlight,Deterjen,12000,Mei,75,10,eceran,Tinggi,Rendah
Sunlight,Deterjen,12000,Juni,50,50,eceran,Sedang,Rendah
Sunlight,Deterjen,12000,Juli,45,60,eceran,Sedang,Rendah
Sunlight,Deterjen,12000,Agustus,80,5,eceran,Tinggi,Rendah
Sunlight,Deterjen,12000,September,40,70,eceran,Sedang,Rendah
Sunlight,Deterjen,12000,Oktober,85,0,eceran,Tinggi,Rendah
Sunlight,Deterjen,12000,November,35,80,eceran,Sedang,Rendah
Sunlight,Deterjen,12000,Desember,90,0,eceran,Tinggi,Rendah
Teh Botol,Minuman,6000,Januari,20,220,eceran,Rendah,Berlebih
Teh Botol,Minuman,6000,Februari,25,180,eceran,Rendah,Berlebih
Teh Botol,Minuman,6000,Maret,30,200,eceran,Rendah,Berlebih
Teh Botol,Minuman,6000,April,35,170,eceran,Rendah,Berlebih
Teh Botol,Minuman,6000,Mei,15,250,eceran,Rendah,Berlebih
Teh Botol,Minuman,6000,Juni,40,160,eceran,Rendah,Berlebih
Teh Botol,Minuman,6000,Juli,10,280,eceran,Rendah,Berlebih
Teh Botol,Minuman,6000,Agustus,45,140,eceran,Rendah,Berlebih
Teh Botol,Minuman,6000,September,5,300,eceran,Rendah,Berlebih
Teh Botol,Minuman,6000,Oktober,50,120,eceran,Rendah,Berlebih
Teh Botol,Minuman,6000,November,0,320,eceran,Rendah,Berlebih
Teh Botol,Minuman,6000,Desember,55,100,eceran,Rendah,Berlebih
Susu Ultra,Minuman,10000,Januari,90,89,eceran,Tinggi,Cukup
Susu Ultra,Minuman,10000,Februari,85,95,eceran,Sedang,Cukup
Susu Ultra,Minuman,10000,Maret,80,105,eceran,Sedang,Cukup
Susu Ultra,Minuman,10000,April,95,80,eceran,Tinggi,Cukup
Susu Ultra,Minuman,10000,Mei,75,115,eceran,Sedang,Cukup
Susu Ultra,Minuman,10000,Juni,100,70,eceran,Tinggi,Cukup
Susu Ultra,Minuman,10000,Juli,70,120,eceran,Sedang,Cukup
Susu Ultra,Minuman,10000,Agustus,105,65,eceran,Tinggi,Cukup
Susu Ultra,Minuman,10000,September,65,125,eceran,Sedang,Cukup
Susu Ultra,Minuman,10000,Oktober,110,55,eceran,Tinggi,Cukup
Susu Ultra,Minuman,10000,November,60,130,eceran,Sedang,Cukup
Susu Ultra,Minuman,10000,Desember,115,45,eceran,Tinggi,Cukup
